# Timestamp, Latitude, Longitude, Accuracy, Speed
#Journey Start
1436404262493,-36.91135316,174.86278602,5.0,5.59017
1436404263491,-36.91134158,174.86273479,7.0,5.0990195
1436404264519,-36.91134396,174.86272618,6.0,2.4622145
1436404265490,-36.91133692,174.86270406,6.0,1.8027756
1436404266494,-36.91132982,174.86268498,6.0,1.8027756
1436404267489,-36.91133121,174.86265256,7.0,2.0155644
1436404268495,-36.91131872,174.8626325,7.0,2.236068
1436404269491,-36.91130296,174.86259369,7.0,3.4003677
1436404270489,-36.91128481,174.86254631,6.0,4.854122
1436404271483,-36.91126095,174.86248738,6.0,5.836309
1436404272491,-36.91123378,174.86241185,5.0,6.576473
1436404273496,-36.9112075,174.8623466,5.0,7.071068
1436404274492,-36.91116667,174.86227328,5.0,7.566373
1436404275491,-36.91113809,174.86219022,5.0,7.3186407
1436404276491,-36.91111203,174.86212423,4.0,7.071068
1436404277496,-36.91108191,174.86205771,4.0,7.071068
1436404278488,-36.91106511,174.86198734,4.0,7.071068
1436404279497,-36.9110308,174.86191196,4.0,7.566373
1436404280487,-36.91099514,174.86183104,4.0,8.062258
1436404281489,-36.91095154,174.86175117,4.0,8.558621
1436404282492,-36.91090899,174.86166833,5.0,8.806957
1436404283490,-36.91086174,174.86158361,4.0,9.055386
1436404284495,-36.91080994,174.86150411,4.0,9.055386
1436404285488,-36.91075789,174.86142695,4.0,9.055386
1436404286486,-36.91072388,174.8613363,4.0,9.303897
1436404287490,-36.91069272,174.86123873,6.0,9.303897
1436404288494,-36.91063853,174.86117132,5.0,9.552486
1436404289493,-36.91059176,174.86109862,6.0,9.552486
1436404290495,-36.9105371,174.86101539,7.0,9.801147
1436404291484,-36.91047723,174.86090552,7.0,10.547511
1436404292491,-36.91042771,174.86080457,7.0,10.547511
1436404293495,-36.91037383,174.8607157,7.0,11.045361
1436404294493,-36.91031362,174.86060274,7.0,11.294357
1436404295498,-36.91027191,174.86048465,7.0,11.543396
1436404296488,-36.91022052,174.86036712,6.0,11.792477
1436404297490,-36.91016174,174.8602518,6.0,11.792477
1436404298491,-36.91010019,174.86014158,6.0,11.543396
1436404299494,-36.91004261,174.86003025,5.0,11.543396
1436404300492,-36.90996437,174.85992995,5.0,11.543396
1436404301492,-36.90990618,174.85982555,4.0,11.543396
1436404302493,-36.90983203,174.85971875,4.0,12.0415945
1436404303493,-36.90975923,174.85962367,4.0,11.792477
1436404304537,-36.90968824,174.85952853,4.0,11.792477
1436404305489,-36.90961876,174.85944861,4.0,11.294357
1436404306493,-36.90953753,174.85936809,3.0,10.7964115
1436404307493,-36.90945032,174.85929937,4.0,10.298665
1436404308489,-36.90936927,174.85922861,5.0,10.547511
1436404309495,-36.90930326,174.85916353,4.0,10.547511
1436404310488,-36.9092355,174.85908653,4.0,10.547511
1436404311494,-36.90917163,174.85900536,3.0,10.7964115
1436404312491,-36.90906552,174.85892862,4.0,11.294357
1436404313506,-36.90898313,174.85885496,9.0,11.543396
1436404314489,-36.90889908,174.85877855,9.0,11.294357
1436404315491,-36.90880533,174.85870544,9.0,11.543396
1436404316489,-36.90871595,174.85862572,9.0,11.792477
1436404317496,-36.90864068,174.85854548,9.0,11.543396
1436404318487,-36.9085546,174.85847191,9.0,11.294357
1436404319490,-36.90846756,174.85840789,9.0,11.294357
1436404320495,-36.90838041,174.85834127,9.0,11.294357
1436404321489,-36.90829138,174.85827566,9.0,11.543396
1436404322496,-36.90820709,174.85819612,9.0,12.0415945
1436404323489,-36.90810929,174.85811546,9.0,12.290749
1436404324491,-36.90801412,174.85803386,9.0,13.038404
1436404325490,-36.90792008,174.85794687,9.0,13.287683
1436404326494,-36.90781981,174.85785548,9.0,13.536986
1436404327488,-36.90771995,174.85777391,9.0,13.536986
1436404328500,-36.90762634,174.85769078,9.0,13.287683
1436404329495,-36.90753749,174.85761497,9.0,13.287683
1436404330490,-36.90745259,174.85752354,9.0,12.789156
1436404331496,-36.90736501,174.8574269,9.0,12.539936
1436404332489,-36.90728586,174.85733776,9.0,12.539936
1436404333494,-36.90720803,174.85725111,10.0,12.0415945
1436404334487,-36.90711453,174.85715894,9.0,12.789156
1436404335484,-36.90700568,174.85707965,9.0,12.789156
1436404336487,-36.90691833,174.85699562,9.0,12.789156
1436404337485,-36.90682742,174.85690291,10.0,13.038404
1436404338486,-36.9067341,174.85681079,10.0,13.287683
1436404339965,-36.90662225,174.85672392,10.0,13.786316
1436404340491,-36.90652097,174.85664455,10.0,14.035668
1436404341495,-36.90640986,174.85656118,10.0,14.534442
1436404342489,-36.90629738,174.85646584,10.0,15.033297
1436404343489,-36.90618145,174.85636621,10.0,15.532225
1436404344495,-36.906061,174.8562732,10.0,15.781714
1436404345491,-36.90594881,174.85619544,10.0,15.532225
1436404346495,-36.90582644,174.8561014,11.0,15.532225
1436404347489,-36.90570595,174.85599522,11.0,15.781714
1436404348497,-36.90558694,174.85588695,11.0,16.03122
1436404349489,-36.90545943,174.85580782,10.0,16.28074
1436404350495,-36.90534023,174.85569686,10.0,16.28074
1436404351490,-36.90520901,174.85558403,10.0,16.28074
1436404352496,-36.90508811,174.85548158,10.0,16.28074
1436404353490,-36.90495349,174.85538809,10.0,16.03122
1436404354488,-36.9048434,174.85528631,10.0,16.03122
1436404355491,-36.90471726,174.85518556,10.0,15.781714
